	metabolite	PNCA	PNCB	NADD-NaMN	NADE	SIRT	NAMPT	NADD-NMN	NT5-NaMN	NT5-NMN	NADR-NMN	PNP-NR	NADR-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	Summation Error	temperature
2243		0.0267603665578768	-1.3946240207126344	0.0583699156492173	-1.385967425556226	0.05837120426873	-1.3946240743389893	0.0580910323450581	-1.3935720515220564	0.0	7.4e-323	7.4e-323	0.0	0.0	8.65774282714e-312	0.0	8.666133908583e-312	-1.4984403065491556e-154	1.0635294425628266e-94	3.483440164949897e+228	80.0
2244	NAD	3.0479564154742347	1.153651142891354	-0.3319764617873428	1.1514991013361926	-0.3319817058509579	1.1536511870877613	-0.3303903246217057	1.1527809402840763	0.0	0.0		7.4e-323	8.66613391285e-312	0.0	7.4e-323	0.0	6.95194987138207e-310	0.0	4.4e-323	80.0
2245	NaAD	-3.0854769378524662	-1.1678526561753928	0.336080400247072	-1.1656741228623704	0.3360666898058007	-1.16785270091586	0.3344746550366915	-1.1669717413229417	8.666015767447e-312	6.9518704107814e-310	0.0	9.083672063161088e+223	0.0	0.0	6.21648314439745e-310	8.66613391451e-312	0.0	7.4e-323	7.4e-323	80.0
2246	NR	6.30604645980394e-07	2.386837843182575e-07	-1.7320995992799693e-05	2.382385392999412e-07	1.658000366745998e-06	2.386837930899829e-07	-1.7238238693254666e-05	2.385037444052313e-07	0.0	8.66613391712e-312	8.66607246231e-312	1.7874737e-317	0.0	8.666133909294e-312	6.95194969632014e-310	0.0	1.076626217248244e+277	0.0	6.95194986536514e-310	80.0
2247	NAR	-0.0004098237181732	-0.0001551182290767	-0.0008939215310614	0.1639064417196676	-0.0008939301897918	-0.0001551182348202	-0.0008896504988445	0.9998824890650324	6.95194986205886e-310	0.0	0.0	0.0	7.4e-323	0.0	0.0	8.666088513594e-312	8.666015773534e-312	1.6779197143673458e+243	0.0	80.0
2248	NAM	-1.6832534371984054e-09	inf	-4.443934136851988e-09	inf	-4.4454117930804555e-09	inf	-inf	inf	0.0	0.0	1.8302513046540808e-76	7.4e-323	0.0	7.4e-323	0.0	0.0	0.0	7.4e-323	0.0	80.0
2249	NaMN	1.3718718153163931e-09	inf	4.893192767026125e-09	-inf	4.8948201679189265e-09	inf	inf	-inf	-1.5042671529577655e-154	2.767e-321	6.9519498593476e-310	8.666015870924e-312	0.0	0.0	0.0	0.0	7.4e-323	0.0	6.384815116218032e+20	80.0
2250	NMN	2.166161583636881e-14	-inf	7.726265730513667e-14	-inf	7.728835368031106e-14	inf		-inf	6.9519498728354e-310	0.0	4.4e-323	0.0	8.66601587381e-312	0.0	0.0	8.678962785043e-312	9.1771525185649e+170	9.27923374638954e+199	9.054792590900578e-43	80.0
2251		9.782878019054685e-13	-inf	3.489357200073836e-12	-inf	3.4905177067817152e-12	-inf	inf	-inf	0.0	7.4e-323	7.4e-323	0.0	0.0	8.666047150023e-312	8.665698130904e-312	8.66607764897e-312	-1.9555330861441e-310	1.0635294425628266e-94	3.483440164949901e+228	80.0
2252	NAD	0.9470037091894764	-inf	-1.3815919248523276	inf	-1.3820524223011912	inf	-inf		0.0	0.0	6.95194986536514e-310	0.0	6.95194986538175e-310	0.0	9.1771525185649e+170	0.0	6.9519498617786e-310	0.0	0.0	80.0
