temperature	PNCA	NAPRT	NMNAT1-NaMN	NADS	SIRT	NAMPT	NMNAT1-NMN	NT5-NaMN	NT5-NMN	NRK1-NMN	PNP-NR	NRK1-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	pathway	objective
60.0	1.0717457173010646e-08	1.0859269137216748e-08	1.0717457173010646e-08	1.0717457173010648e-08	9.82036216006288e-09	1.5855364415967762e-17	-2.038587402883606e-10	9.782266711844962e-17	8.435316694793767e-19	8.362092031929448e-19	1.4263657506726574e-27	9.780562305388739e-17	1.6683216437733612e-25	2.0385875613640336e-10	1.4181196418970508e-10	1.639688635103336e-20	7.322464860066045e-21	6.93236272659404e-10	PNCA	min_ratio
60.0	2.4214556898025785e-09	2.4214687388007367e-09	2.4214556898025765e-09	2.4214556898025785e-09	6.049618111137617e-11	2.9386909616798997e-16	-5.610915013334169e-10	9.385572195375528e-21	2.3136817048087317e-18	5.882137177727167e-23	2.313573488567561e-18	3.652426543232764e-24	1.4365794207179504e-19	5.610917931308062e-10	1.3048988772720403e-14	5.871964098200053e-26	4.939486939337495e-23	1.7998680071158693e-09	PNCA	min_ratio
60.0	3.407051673487993e-05	3.407067520135765e-05	3.4070516734879926e-05	3.4070516734879926e-05	3.4069645491552585e-05	3.084083142142433e-17	-2.0707155708529714e-10	3.2575737467113572e-12	2.6163102927745903e-14	5.169749278054721e-18	4.498817114786579e-20	2.3515563828996802e-14	2.902223444037642e-16	2.0704542999184453e-10	1.5523241954936008e-10	3.2337679592374348e-12	2.6157888190296702e-14	6.641717702657624e-10	PNCA	min_ratio
60.0	6.685845658360449e-09	6.7316168661815485e-09	6.6858456586270735e-09	6.685845658360451e-09	5.815694654000734e-09	4.251776605254344e-18	-2.0683608958091872e-10	1.0452465854141577e-11	2.8498075527651484e-13	2.3108297603451745e-13	4.0221610791297114e-14	8.892590163720608e-12	1.549787028513038e-12	2.0678219704439823e-10	4.421133213261581e-11	1.0088659967327659e-14	1.3676168450700373e-14	6.633149137878525e-10	PNCA	min_ratio
60.0	6.887139080874754e-08	6.891544241970829e-08	6.887139080865273e-08	6.887139080874757e-08	6.798937907636384e-08	4.872308793818386e-16	-2.0961749461478458e-10	1.196456265357514e-11	3.3314382874573803e-13	3.276949930675773e-13	4.819131126795172e-15	1.1790723381740353e-11	1.734055942482834e-13	2.0961253298031152e-10	4.387777156956893e-11	4.337969118667088e-16	6.297045513655606e-16	6.723942377986277e-10	PNCA	min_ratio
60.0	7.728856377780968e-10	9.467979849380437e-10	7.728856377780969e-10	7.72885637778097e-10	5.814375911939112e-13	3.5983183173391393e-13	-5.031050449164938e-11	1.18863800049074e-16	2.0997695309046682e-19	2.356051656807533e-27	2.0997335898102493e-19	1.3287589973708509e-24	1.1842014972357075e-16	5.0670336113406344e-11	1.7391222829614797e-10	3.878136837646619e-23	3.59175339020816e-24	7.219936956952538e-10	PNCA	min_ratio
60.0	3.412251887405527e-07	3.4124854446734585e-07	3.4122518874055287e-07	3.412251887405526e-07	3.403554911928666e-07	6.688260030833058e-17	-2.0668081579281127e-10	1.6681506690703305e-17	8.551857182837951e-19	4.565214701348985e-21	8.506084395354904e-19	8.92719513117685e-20	1.6633494844655493e-17	2.0668088182421327e-10	2.3355710200665692e-11	4.516500346105166e-24	1.2064046955785807e-23	6.630167318936948e-10	PNCA	min_ratio
60.0	1.7227174694861198e-09	1.9069067093614195e-09	1.7227174694861204e-09	1.7227174694861202e-09	9.598622956172817e-10	3.5123534604885844e-12	-1.019570834120513e-10	1.2551867364032307e-16	4.368308822656288e-19	1.3590612608958796e-26	4.362334873063937e-19	3.910334759968286e-24	1.2551450171394213e-16	1.0546943643570897e-10	1.841891143566296e-10	3.2906507192081326e-21	5.973813686490844e-22	6.608980904567876e-10	PNCA	min_ratio
60.0	7.155155222402228e-10	8.619061000409762e-10	7.15515522240223e-10	7.155155222402229e-10	3.8226204235687255e-12	4.437624152778937e-15	-4.855650651521296e-11	7.863925269429453e-16	1.569240595096906e-18	7.650670655677296e-25	5.0813527894987975e-23	1.9990294071429428e-20	1.3278321112311999e-18	4.856094257012591e-11	1.4638979142821676e-10	7.850447046060069e-16	1.5691890165019454e-18	6.631363953014412e-10	PNCA	min_ratio
60.0	5.482467414447976e-08	5.4982905257742567e-08	5.482467414447975e-08	5.482467414447976e-08	5.391320781343824e-08	6.65233091782675e-16	-2.1452598982383794e-10	1.0863362174818064e-16	8.87581711060291e-19	8.875678955716996e-19	1.2631566867336436e-27	1.1980878021259527e-16	1.7050781423110884e-25	2.1452665505691594e-10	1.5823111326278075e-10	3.5700047638439733e-23	1.381422500656993e-23	6.969403412176737e-10	PNCA	min_ratio
